BatchID,ProductName,Stage,InputWeight_kg,OutputWeight_kg,Duration_hr,RoomTemp_C,Humidity_%,Operator,MachineID,DeviationType,Date,Remarks
4001,Vitamin C 100mg,Granulation,190.6,188.9,3.1,24,,Frank,C-01,Capping,9/23/2025,Normal run
4001,Vitamin C 100mg,Compression,157.1,156.3,5.4,22.8,53,Alice,C-01,Weight variation,9/20/2025,Slight delay
4001,Vitamin C 100mg,Coating,169.5,168.2,5,25.5,44,Alice,CT-03,Uneven coating,9/10/2025,Deviated yield
4002,Omeprazole 20mg,Granulation,136.9,135.5,4.8,25.5,50,Frank,CT-01,Capping,10/1/2025,Deviated yield
4002,Omeprazole 20mg,Compression,197.9,194.5,5.3,25.2,44,Bob,C-03,Sticking,9/17/2025,Deviated yield
4002,Omeprazole 20mg,Coating,134.9,130.7,3.7,22.9,53,Frank,CT-03,Sticking,9/27/2025,Minor loss
4003,Metformin 500mg,Granulation,197.9,194.5,3.1,23.7,,Alice,G-02,Peeling,9/30/2025,Humidity issue
4003,Metformin 500mg,Compression,156.3,155.4,4.7,23.7,,Henry,CT-01,Weight variation,9/30/2025,Humidity issue
4003,Metformin 500mg,Coating,125,122.5,4.1,26,,David,G-01,Uneven coating,9/20/2025,Minor loss
4004,Amoxicillin 250mg,Granulation,168.4,162.8,5.4,23.3,41,Bob,C-03,Weight variation,9/23/2025,Within spec
4004,Amoxicillin 250mg,Compression,178.6,176.6,3.3,25.5,40,David,CT-01,Spillage,9/17/2025,Rework required
4004,Amoxicillin 250mg,Coating,126.7,124.8,3.9,24,48,Isaac,G-03,Spillage,9/15/2025,Humidity issue
4005,Ibuprofen 200mg,Granulation,187.3,181.3,5.5,22.2,,Isaac,G-03,Peeling,9/12/2025,Minor loss
4005,Ibuprofen 200mg,Compression,150.6,149,5,25.5,,Alice,C-01,Capping,9/7/2025,Within spec
4005,Ibuprofen 200mg,Coating,115.3,114.3,3.5,23.1,52,Charlie,C-03,Uneven coating,9/27/2025,Within spec
4006,Cetirizine 10mg,Granulation,165.3,163.3,4.7,25.3,,Grace,CT-02,None,9/11/2025,Normal run
4006,Cetirizine 10mg,Compression,124.4,123.5,3.6,24.2,52,Isaac,CT-03,Capping,9/30/2025,Slight delay
4006,Cetirizine 10mg,Coating,180.4,176.7,5,24.6,45,Charlie,G-01,Peeling,9/28/2025,Humidity issue
4007,Paracetamol 500mg,Granulation,198.1,191.8,3.4,24.4,43,David,CT-04,Sticking,9/1/2025,Deviated yield
4007,Paracetamol 500mg,Compression,171.9,170.3,4,25.5,50,Henry,G-03,None,9/24/2025,Rework required
4007,Paracetamol 500mg,Coating,128.5,127,3.4,23.8,43,Frank,G-01,Uneven coating,9/20/2025,Within spec
4008,Ibuprofen 200mg,Granulation,187,183.3,4.1,22.9,50,Grace,G-03,Capping,9/18/2025,Deviated yield
4008,Ibuprofen 200mg,Compression,147.2,142.4,5.5,24.3,45,Alice,CT-04,None,9/12/2025,Deviated yield
4008,Ibuprofen 200mg,Coating,172.1,170.8,5.2,25.8,,Alice,CT-01,Weight variation,10/1/2025,Within spec
4009,Cetirizine 10mg,Granulation,124.1,122,3.9,22.6,54,Henry,G-02,Weight variation,9/3/2025,Normal run
4009,Cetirizine 10mg,Compression,173,168.8,4.4,22.5,46,Isaac,G-01,Sticking,9/11/2025,Slight delay
4009,Cetirizine 10mg,Coating,171.4,170.4,3.8,23.3,,Isaac,G-01,Sticking,9/17/2025,Slight delay
